time,stateEstimate.x,stateEstimate.y,stateEstimate.z,ctrltarget.x,
10938.2,0.493144,0.144724,0.028251,0,
10938.2,0.492943,0.142177,0.0257218,0,
10938.2,0.493558,0.143644,0.0248332,0,
10938.2,0.493779,0.144225,0.0250992,0,
10938.2,0.49383,0.144361,0.025319,0,
10938.3,0.493885,0.144402,0.0256046,0,
10938.3,0.493945,0.144548,0.0258383,0,
10938.3,0.493994,0.144625,0.0260606,0,
10938.3,0.494023,0.144641,0.0261739,0,
10938.3,0.494043,0.144738,0.0263529,0,
10938.4,0.49403,0.144733,0.0265041,0,
10938.4,0.494,0.144726,0.0266446,0,
10938.4,0.493949,0.144748,0.0267741,0,
10938.4,0.493934,0.144731,0.0268531,0,
10938.4,0.493898,0.144614,0.027009,0,
10938.5,0.49381,0.144688,0.0271382,0,
10938.5,0.493673,0.144841,0.0273409,0,
10938.5,0.493561,0.144865,0.0274853,0,
10938.5,0.493521,0.144848,0.0275639,0,
10938.5,0.493405,0.144763,0.0276895,0,
10938.6,0.493259,0.144774,0.0278174,0,
10938.6,0.493214,0.144781,0.0278698,0,
10938.6,0.493588,0.143626,0.0248084,0,
10938.6,0.49367,0.144115,0.024974,0,
10938.6,0.493735,0.144177,0.0252911,0,
10938.7,0.493748,0.144329,0.0255825,0,
10938.7,0.493816,0.144361,0.0258772,0,
10938.7,0.493864,0.1444,0.0261342,0,
10938.7,0.49384,0.144383,0.0261965,0,
10938.7,0.493787,0.144356,0.0263239,0,
10938.7,0.49384,0.144545,0.0266008,0,
10938.8,0.493819,0.144544,0.0266793,0,
10938.8,0.493771,0.144542,0.0268415,0,
10938.8,0.493715,0.144541,0.0270097,0,
10938.8,0.493686,0.144543,0.0270939,0,
10938.8,0.493624,0.144555,0.0272613,0,
10938.8,0.493552,0.144578,0.0274309,0,
10938.9,0.492673,0.142804,0.0236282,0,
10938.9,0.493179,0.143678,0.0244298,0,
10938.9,0.493435,0.144033,0.0251081,0,
10938.9,0.493589,0.144373,0.0255591,0,
10939,0.49372,0.14449,0.0259558,0,
10939,0.493715,0.1445,0.0260584,0,
10939,0.493811,0.144608,0.0264121,0,
10939,0.493843,0.144753,0.0265744,0,
10939,0.493846,0.144776,0.026828,0,
10939,0.493825,0.144868,0.0270667,0,
10939.1,0.493767,0.144912,0.0272747,0,
10939.1,0.49372,0.144834,0.0275012,0,
10939.1,0.493595,0.144838,0.0276857,0,
10939.1,0.493574,0.144853,0.0278047,0,
10939.1,0.493503,0.144778,0.0280264,0,
10939.1,0.49336,0.144738,0.0282209,0,
10939.2,0.493238,0.144709,0.0283094,0,
10939.2,0.493047,0.144819,0.0284939,0,
10939.2,0.492875,0.144789,0.0286817,0,
10939.2,0.492715,0.144682,0.0288717,0,
10939.2,0.492648,0.144685,0.0289763,0,
10939.2,0.492463,0.144817,0.0291827,0,
10939.3,0.492297,0.144774,0.0293677,0,
10939.3,0.492129,0.144746,0.0295694,0,
10939.3,0.492077,0.144654,0.0296637,0,
10939.3,0.491876,0.144776,0.0298793,0,
10939.3,0.49176,0.144654,0.0300812,0,
10939.3,0.491667,0.144647,0.0301996,0,
10939.4,0.491512,0.144583,0.0304145,0,
10939.4,0.49127,0.144621,0.0306436,0,
10939.4,0.49108,0.144627,0.0308516,0,
10939.4,0.491086,0.144534,0.0309214,0,
10939.4,0.490959,0.144493,0.0311416,0,
10939.5,0.490792,0.144525,0.0313685,0,
10939.5,0.490688,0.144517,0.0315655,0,
10939.5,0.490584,0.144491,0.0317097,0,
10939.5,0.490357,0.144555,0.0319561,0,
10939.5,0.490188,0.144669,0.0321832,0,
10939.5,0.490192,0.144617,0.0322162,0,
10939.6,0.490091,0.144613,0.0323867,0,
10939.6,0.48999,0.144695,0.0325502,0,
10939.6,0.489812,0.144727,0.0327774,0,
10939.6,0.489704,0.144716,0.0329292,0,
10939.6,0.489587,0.144629,0.033116,0,
10939.6,0.489424,0.144609,0.0333079,0,
10939.7,0.489226,0.144682,0.0335316,0,
10939.7,0.489198,0.144615,0.0336275,0,
10939.7,0.489266,0.144515,0.0335871,0,
10939.7,0.489137,0.144552,0.033738,0,
10939.7,0.489081,0.14462,0.0338318,0,
10939.8,0.489048,0.144561,0.0339426,0,
10939.8,0.489069,0.144601,0.0338832,0,
10939.8,0.489025,0.144652,0.0339576,0,
10939.8,0.48899,0.144626,0.0339966,0,
10939.8,0.488871,0.144599,0.0341562,0,
10939.8,0.488801,0.144587,0.0342263,0,
10939.9,0.488771,0.144529,0.034289,0,
10939.9,0.488728,0.144565,0.0343306,0,
10939.9,0.488721,0.144564,0.0343361,0,
10939.9,0.48886,0.144637,0.0341539,0,
10939.9,0.488861,0.144593,0.0341863,0,
10939.9,0.488814,0.144584,0.0342137,0,
10940,0.488704,0.144574,0.0343451,0,
10940,0.488739,0.144568,0.034296,0,
10940,0.48886,0.144493,0.0341892,0,
10940,0.488944,0.144436,0.0340916,0,
10940.1,0.488984,0.144579,0.034024,0,
10940.1,0.489213,0.144582,0.0337718,0,
10940.1,0.489055,0.144687,0.0339136,0,
10940.1,0.488986,0.144709,0.0339567,0,
10940.1,0.488972,0.14468,0.0339698,0,
10940.2,0.488904,0.144678,0.0340222,0,
10940.2,0.488982,0.144638,0.0339053,0,
10940.2,0.489094,0.144504,0.033784,0,
10940.2,0.489288,0.144563,0.0334823,0,
10940.2,0.489243,0.144652,0.0335226,0,
10940.2,0.489455,0.144529,0.0332942,0,
10940.3,0.489342,0.144514,0.0334396,0,
10940.3,0.489348,0.144601,0.0333696,0,
10940.3,0.489305,0.144669,0.0333482,0,
10940.3,0.489445,0.144595,0.03316,0,
10940.3,0.489717,0.144602,0.0327872,0,
10940.3,0.489802,0.144589,0.0326374,0,
10940.4,0.48951,0.144548,0.0329469,0,
10940.4,0.48971,0.144608,0.0326991,0,
10940.4,0.489652,0.14469,0.0327092,0,
10940.5,0.489929,0.144691,0.0323656,0,
10940.5,0.489692,0.144687,0.0326842,0,
10940.5,0.489572,0.144688,0.0328454,0,
10940.5,0.489327,0.14469,0.0331711,0,
10940.5,0.489078,0.144694,0.0335005,0,
10940.5,0.488824,0.144707,0.0338385,0,
10940.6,0.488684,0.144719,0.0340276,0,
10940.6,0.48842,0.14475,0.0343773,0,
10940.6,0.488147,0.144787,0.0347337,0,
10940.6,0.487866,0.14483,0.035095,0,
10940.6,0.487581,0.144877,0.035459,0,
10940.6,0.487434,0.144901,0.0356406,0,
10940.7,0.487137,0.144954,0.036006,0,
10940.7,0.487667,0.144609,0.0356484,0,
10940.7,0.487733,0.144675,0.0355727,0,
10940.7,0.487592,0.144689,0.0357601,0,
10940.7,0.487599,0.144726,0.0357492,0,
10940.8,0.487863,0.144696,0.0353966,0,
10940.8,0.488125,0.144734,0.0350221,0,
10940.8,0.488386,0.14476,0.034657,0,
10940.8,0.488718,0.144644,0.0342414,0,
10940.8,0.488872,0.144573,0.0340434,0,
10940.8,0.488894,0.144678,0.0339593,0,
10940.9,0.488844,0.144664,0.0339903,0,
10940.9,0.489105,0.144584,0.0337392,0,
10940.9,0.489296,0.144641,0.0334624,0,
10940.9,0.489593,0.144691,0.0330636,0,
10940.9,0.489626,0.144653,0.0329747,0,
10941,0.493096,0.143574,0.0250995,0,
10941,0.493042,0.144064,0.0255711,0,
10941,0.493006,0.144275,0.0260953,0,
10941,0.492962,0.14447,0.0265697,0,
10941,0.493128,0.144585,0.0267413,0,
10941.1,0.492992,0.144583,0.0272641,0,
10941.1,0.492931,0.144671,0.0276328,0,
10941.1,0.492837,0.144657,0.0279812,0,
10941.1,0.492732,0.144593,0.0283214,0,
10941.2,0.492608,0.14466,0.0286501,0,
10941.2,0.492543,0.144608,0.0288102,0,
10941.2,0.492379,0.144685,0.02914,0,
10941.2,0.492195,0.144743,0.0294702,0,
10941.2,0.492872,0.142184,0.0259691,0,
10941.2,0.493479,0.143583,0.0251504,0,
10941.3,0.493619,0.144263,0.02524,0,
10941.3,0.493732,0.144468,0.0255007,0,
10941.3,0.493805,0.144537,0.0257306,0,
10941.3,0.49389,0.144526,0.0259668,0,
10941.3,0.493884,0.144501,0.0260467,0,
10941.3,0.49388,0.14449,0.0260866,0,
10941.4,0.492857,0.142177,0.0250045,0,
10941.4,0.493359,0.143338,0.024659,0,
10941.4,0.493247,0.14319,0.0245449,0,
10941.4,0.493565,0.143932,0.0248143,0,
10941.4,0.493529,0.143899,0.0247941,0,
10941.4,0.493455,0.143836,0.0247557,0,
10941.5,0.493792,0.144423,0.0252988,0,
10941.5,0.493958,0.144677,0.0256343,0,
10941.5,0.494056,0.144776,0.025872,0,
10941.5,0.494064,0.144798,0.0259324,0,
10941.5,0.494131,0.144852,0.0261272,0,
10941.6,0.494169,0.144868,0.0262891,0,
10941.6,0.494185,0.144802,0.0264235,0,
10941.6,0.494193,0.14482,0.0264981,0,
10941.6,0.494188,0.144888,0.0266319,0,
10941.6,0.494123,0.144834,0.026721,0,
10941.6,0.494047,0.1449,0.0268174,0,
10941.7,0.493973,0.144836,0.0269113,0,
10941.7,0.493875,0.144823,0.0269954,0,
10941.7,0.493861,0.144704,0.0270443,0,
10941.7,0.493761,0.144739,0.0271436,0,
10941.7,0.493682,0.144689,0.0272523,0,
10941.7,0.493645,0.144694,0.0273142,0,
10941.8,0.493546,0.144735,0.0274265,0,
10941.8,0.493452,0.144821,0.0274796,0,
10941.8,0.493265,0.14476,0.0276885,0,
10941.8,0.493214,0.144644,0.027784,0,
10941.9,0.493097,0.144639,0.0279192,0,
10941.9,0.493037,0.144639,0.0279892,0,
10941.9,0.49291,0.144647,0.0281331,0,
10941.9,0.492843,0.144656,0.0282065,0,
10941.9,0.492708,0.144681,0.0283553,0,
